"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA",","1"
"UNIVERSIDADE FEDERAL DE PERNAMBUCO",","1"
"INSTITUTO HISTÓRICO E ARTÍSTICO DO PATRIMÔNIO NACIONAL",","6"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA",","4"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE DE SÃO PAULO",","3"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",","1"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE DO ESTADO DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE GOIÁS",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","4"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",","4"
"UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO",","3"
"UNIVERSIDADE FEDERAL DO PARÁ",","1"
"MUSEU NACIONAL DO RIO DE JANEIRO",","3"
"MUSEU PARAENSE EMÍLIO GOELDI",","1"
"UNIVERSIDADE FEDERAL DO PARÁ",","1"
"UNIVERSIDADE FEDERAL DE SÃO CARLOS",","3"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",","4"
"MUSEU NACIONAL DO RIO DE JANEIRO",","3"
"ESPAÇO GESTÃO DO PATRIMÔNIO CULTURAL",","6"
"ESPAÇO GESTÃO DO PATRIMÔNIO CULTURAL",","6"
"UNIVERSIDAD NACIONAL DE CÓRDOBA",","5"
"UNIVERSIDAD NACIONAL DE CÓRDOBA",","5"
"UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO",","3"
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ",","4"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",","4"
"UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ",","4"
"UNIVERSIDADE ESTADUAL DO CEARÁ",","1"
"UNIVERSIDADE ESTADUAL DO CEARÁ",","1"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE FEDERAL FLUMINENSE",","3"
"UNIVERSIDADE DE BRASÍLIA",","2"
"UNIVERSIDADE DE BRASÍLIA",","2"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DE PARAÍBA",","1"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE DE BRASÍLIA",","2"
"UNIVERSIDADE DE BRASÍLIA",","2"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",","1"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",","1"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE ESTADUAL DO CEARÁ",","1"
"UNIVERSIDADE FEDERAL DA BAHIA",","1"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE RONDÔNIA",","0"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS",","0"
"UNIVERSIDADE FEDERAL DO PIAUÍ",","1"
"UNIVERSIDADE FEDERAL DE ALFENAS",","3"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE FEDERAL DO PARÁ",","0"
"UNIVERSIDADE FEDERAL DE PERNAMBUCO",","1"
"FACULDADE VALE DO CRICARÉ",","3"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA",","4"
"UNIVERSIDADE FEDERAL DE RONDÔNIA",","0"
"UNIVERSIDADE FEDERAL DE RONDÔNIA",","0"
"UNIVERSIDADE FEDERAL DE RONDÔNIA",","0"
"UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ",","0"
"UNIVERSIDADE DE SÃO PAULO",","3"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE FEDERAL DE MINAS GERAIS",","3"
"UNIVERSIDADE ESTADUAL JÚLIO DE MESQUITA FILHO",","3"
"UNIVERSIDADE ESTADUAL DE MARINGÁ",","4"
"UNIVERSIDADE ESTADUAL JÚLIO DE MESQUITA FILHO",","3"
"UNIVERSIDADE ESTADUAL DE MARINGÁ",","4"
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",","3"
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",","3"
"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",","3"
"UNIVERSIDADE PARANAENSE",","0"
"UNIVERSIDADE DO ESTADO DE SÃO PAULO",","3"
"LABORATÓRIO ESQUIZOANALÍTICO DE PRODUÇÃO DE SUBJETIVIDADES E(M) INTERSECCIONALIDADES",","2"
"UNIVERSIDADE FEDERAL DE RONDONÓPOLIS",","0"
"LABORATÓRIO ESQUIZOANALÍTICO DE PRODUÇÃO DE SUBJETIVIDADES E(M) INTERSECCIONALIDADES",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE FEDERAL DE SANTA MARIA",","4"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSITÉ DE LIÈGE",","5"
"UNIVERSIDADE DE BRASÍLIA",","2"
"UNIVERSIDADE FEDERAL DO PIAUÍ",","1"
"UNIVERSIDADE FEDERAL DO PIAUÍ",","1"
"UNIVERSIDADE FEDERAL DA GRANDE DOURADOS",","2"
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO",","3"
"MUSEU NACIONAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DO PIAUÍ",","1"
"UNIVERSIDADE FEDERAL DO AMAZONAS",","0"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO",","3"
"UNIVERSIDADE ESTADUAL DO CEARÁ",","1"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",","1"
"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",","1"
"MUSEU NACIONAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE FEDERAL FLUMINENSE",","3"
"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE FEDERAL DE JUIZ DE FORA",","3"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",","4"
"UNIVERSIDADE FEDERAL DE SÃO CARLOS",","3"
"MUSEU NACIONAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE FEDERAL DE SÃO CARLOS",","3"
"UNIVERSIDADE DE PERNAMBUCO",","1"
"UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO",","1"
